Subsurface: v5.0.2-38-gf308a6b57be0, built with libdivecomputer v0.8.0-devel (03974481b0f29d432aea41ebeb9d75291097dfde)
[5462.484053] INFO: Open: transport=32
[5462.484057] INFO: Configure: baudrate=115200, databits=8, parity=0, stopbits=0, flowcontrol=0
[5462.484058] INFO: Timeout: value=1000
[5462.484059] INFO: Sleep: value=300
[5462.785132] INFO: Purge: direction=3
[5462.785290] INFO: Write: size=5, data=A00301005B
[5462.828874] INFO: Read: size=17, data=A103010C44424B3230343030303037C32D
Event: model=0 (0x00000000), firmware=0 (0x00000000), serial=20400007 (0x01374787)
[5462.829219] INFO: Write: size=7, data=A0040102000058
[5462.861680] INFO: Read: size=7, data=A1040102150042
[5462.861711] INFO: Write: size=7, data=C0020102150025
[5462.897805] INFO: Read: size=161, data=C102019C15000000000000009003000015080711070414009B0500000A0000005F080000E00000000000000005500800955308004430312D35430000E8030000000000000100000002000000000000000300000000000000AE04F504D304910446040404CB039C0379036103510344033B0333032C032703000000000000000000000000000000000000000000000000000000000000000080510100000000003A
[5462.897844] INFO: Write: size=11, data=C003010615000000000020
[5462.943005] INFO: Read: size=133, data=C103018002FF8D04E70002FF5405E70002FF0406E60002FF0007E60002FFD207E60002FFF607E50002FEFD07E50002FE0A08E50002FE0908E40002FEF207E40002FEE007E30002FEFF07E20002FD0A08E20002FD0908E10002FD0908E10002FD3208E00002FD1108E00002FD0308E10002FC2F08E10002FCED07E10002FC1008E20002FC6A
[5462.943044] INFO: Write: size=11, data=C0030106150080000000A0
[5462.964183] INFO: Read: size=133, data=C10301801208E20002FC1608E20002FCE507E30002FBEA07E30002FB3C08E30002FB0508E30002FBEF07E30002FB1E08E30002FB3508E30002FA1208E30002FA3E08E30002FA3D08E30002FA3008E30002FADA07E30002FAAF07E30002F99807E30002F97E07E30002F98D07E30002F97107E30002F94C07E30002F95B07E30002F87107DF
[5462.964221] INFO: Write: size=11, data=C00301061500000100001F
[5462.997904] INFO: Read: size=133, data=C1030180E30002F8F507E30002F8CA07E30002F8C507E30002F8DC07E30002F8F707E30002F7F007E20002F7AF07E20002F79B07E30002F7A707E30002F78607E30002F7B207E30002F60C08E30002F61008E30002F6E407E30002F6DC07E30002F6E107E30002F6AF07E30002F5CA07E30002F5D007E30002F5E607E30002F50508E300DF
[5462.997938] INFO: Write: size=11, data=C00301061500800100009F
[5463.031189] INFO: Read: size=133, data=C103018002F51A08E30002F53008E20002F4F807E20002F4DC07E20002F4C107E20002F48807E30002F4E207E20002F4DF07E20002F3C707E20002F39507E20002F3D307E20002F3ED07E20002F3E307E20002F3FF07E10002F21C08E10002F20D08E10002F20208E10002F21B08E00002F2F107E10002F2F107E10002F1C507E20002F17C
[5463.031224] INFO: Write: size=11, data=C00301061500000200001E
[5463.065366] INFO: Read: size=133, data=C1030180B607E20002F1D707E20002F1F207E20002F1DA07E20002F1FC07E30002F0E507E30002F01508E30002F0E007E30002F0BB07E30002F06707E30002F0AA07E30002EF8707E30002EFAD07E30002EFBC07E30002EFE607E30002EF2E08E30002EF2708E20002EE2B08E20002EE0408E20002EEF107E20002EEDA07E20002EECA07CD
[5463.065401] INFO: Write: size=11, data=C00301061500800200009E
[5463.099584] INFO: Read: size=133, data=C1030180E20002EEA107E20002ED7407E30002ED3F07E30002EDE206E40002EDBC06E40002ED3A06E40003ED3A06010002ED0806E40002ECF905E50002ECE105E50002EC0606E50002EC1F06E50002EC1706E50002EC0E06E50002EB2806E50002EB3606E50002EB3106E50002EB3606E50002EB4606E40002EB3D06E50002EA4F06E500CF
[5463.099618] INFO: Write: size=11, data=C00301061500000300001D
[5463.132527] INFO: Read: size=133, data=C103018002EA5A06E50002EA4E06E50002EA2306E50002EA2606E50003EA2606070002EA4506E50002E90206E50002E9CC05E50002E99905E50002E96205E50002E92105E50002E99004E60002E81204E60002E8FB03E70002E8EB03E70002E8E703E70002E81504E70002E80E04E70002E7ED03E70002E7E603E70002E7E403E70002E7A3
[5463.132561] INFO: Write: size=11, data=C00301061500800300009D
[5463.223341] INFO: Read: size=133, data=C1030180E403E70002E7E303E70002E71804E700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFBA
[5463.223435] INFO: Write: size=7, data=C0020102140026
[5463.270438] INFO: Read: size=161, data=C102019C14000000000000008400000015080711011814009D0000000A0000006C060000E700000000000000804F0800045008004430312D35430000E80300000000000001000000020000000200000000000000000000006803460337032D03260321031E031B031A031903180317031703170316031603000000000000000000000000000000000000000000000000000000000000000020FD0000000000009D
[5463.270481] INFO: Write: size=11, data=C003010614000000000021
[5463.302048] INFO: Read: size=133, data=C103018002FF8304EA0002FFDC04E90002FF0504E90002FF3504E90002FF6004E90002FF7104E90002FEE104E80002FE3705E80002FE8E05E80002FE2C06E80002FE2706E70002FE6C06E70002FD0E06E70002FD7A05E70002FD6205E70002FD3A04E70002FD0304E70002FDF003E70002FCF403E70002FC0004E70002FCF203E70002FC95
[5463.302085] INFO: Write: size=11, data=C0030106140080000000A1
[5463.348980] INFO: Read: size=133, data=C1030180F503E700FF02FF8D04E70002FF5405E70002FF0406E60002FF0007E60002FFD207E60002FFF607E50002FEFD07E50002FE0A08E50002FE0908E40002FEF207E40002FEE007E30002FEFF07E20002FD0A08E20002FD0908E10002FD0908E10002FD3208E00002FD1108E00002FD0308E10002FC2F08E10002FCED07E10002FC1074
[5463.349057] INFO: Write: size=7, data=C0020102130027
[5463.403649] INFO: Read: size=161, data=C102019C13000000020000007800000015071F0D1D1B14000A00000001000000A6040000E800000000000000074F08007F4F08004430312D35430000F3030000000000000000000000000000000000000000000000000000160316031603160316031603160316031603160316031603160316031603160300000000000000000000000000000000000000000000000000000000000000000000000000000000DD
[5463.403688] INFO: Write: size=11, data=C003010613000000000022
[5463.437801] INFO: Read: size=133, data=C103018002FF8304EA0002FF8B04E90002FF9104E90002FF9C04E90002FFA104E90002FFA604E90002FE9A04E90002FE6B04E90002FE7104E90002FE5704E80002FE5A04E80002FE5004E80002FD5B04E80002FD4E04E80002FD4804E80002FD4504E80002FD4004E80002FD1C04E80002FC0304E80002FCF303E800FF02FF8304EA000251
